"Tabela 6450 - Unidades locais, pessoal ocupado total e assalariado, salários e outras remunerações, por seção, divisão, grupo e classe da classificação de atividades (CNAE 2.0)"
"Cód.";"Município";"Ano x Variável x Classificação Nacional de Atividades Econômicas (CNAE 2.0)"
"Cód.";"Município";"2019"
"Cód.";"Município";"Pessoal ocupado assalariado (Pessoas)";;"Salários e outras remunerações (Mil Reais)"
"Cód.";"Município";"Total";"55.10-8 Hotéis e similares";"Total";"55.10-8 Hotéis e similares"
"2210052";"São José do Divino (PI)";"320";"-";"7459";"-"
"2210102";"São José do Peixe (PI)";"287";"-";"6153";"-"
"2210201";"São José do Piauí (PI)";"300";"-";"6953";"-"
"2210300";"São Julião (PI)";"304";"-";"5891";"-"
"2210359";"São Lourenço do Piauí (PI)";"260";"-";"5694";"-"
"2210375";"São Luis do Piauí (PI)";"139";"-";"2918";"-"
"2210383";"São Miguel da Baixa Grande (PI)";"236";"-";"4620";"-"
"2210391";"São Miguel do Fidalgo (PI)";"178";"-";"3734";"-"
"2210409";"São Miguel do Tapuio (PI)";"777";"-";"21549";"-"
"2210508";"São Pedro do Piauí (PI)";"665";"-";"17775";"-"
"2210607";"São Raimundo Nonato (PI)";"3239";"X";"63340";"X"
"2210623";"Sebastião Barros (PI)";"253";"-";"7632";"-"
"2210631";"Sebastião Leal (PI)";"326";"-";"7995";"-"
"2210656";"Sigefredo Pacheco (PI)";"381";"-";"9124";"-"
"2210706";"Simões (PI)";"681";"-";"20901";"-"
"2210805";"Simplício Mendes (PI)";"1132";"6";"22074";"88"
"2210904";"Socorro do Piauí (PI)";"222";"-";"5163";"-"
"2210938";"Sussuapara (PI)";"451";"-";"7885";"-"
"2210953";"Tamboril do Piauí (PI)";"212";"-";"4857";"-"
"2210979";"Tanque do Piauí (PI)";"213";"-";"4946";"-"
"2211001";"Teresina (PI)";"276073";"1454";"9942248";"24260"
"2211100";"União (PI)";"4780";"X";"125957";"X"
"2211209";"Uruçuí (PI)";"3443";"34";"91533";"627"
"2211308";"Valença do Piauí (PI)";"1745";"12";"39146";"133"
"2211357";"Várzea Branca (PI)";"194";"-";"6026";"-"
"2211407";"Várzea Grande (PI)";"211";"-";"4588";"-"
"2211506";"Vera Mendes (PI)";"121";"-";"1767";"-"
"2211605";"Vila Nova do Piauí (PI)";"181";"-";"4625";"-"
"2211704";"Wall Ferraz (PI)";"188";"-";"3915";"-"
"2300101";"Abaiara (CE)";"741";"X";"14265";"X"
"2300150";"Acarape (CE)";"2237";"X";"49269";"X"
"2300200";"Acaraú (CE)";"3964";"24";"109021";"296"
"2300309";"Acopiara (CE)";"2680";"X";"57040";"X"
"2300408";"Aiuaba (CE)";"1172";"-";"15300";"-"
"2300507";"Alcântaras (CE)";"1248";"-";"15283";"-"
"2300606";"Altaneira (CE)";"715";"-";"11730";"-"
"2300705";"Alto Santo (CE)";"1232";"-";"22168";"-"
"2300754";"Amontada (CE)";"2949";"85";"70306";"1061"
"2300804";"Antonina do Norte (CE)";"612";"-";"12272";"-"
"2300903";"Apuiarés (CE)";"909";"X";"20405";"X"
"2301000";"Aquiraz (CE)";"16633";"X";"430366";"X"
"2301109";"Aracati (CE)";"10440";"246";"211647";"3555"
"2301208";"Aracoiaba (CE)";"2475";"X";"47975";"X"
"2301257";"Ararendá (CE)";"752";"-";"14661";"-"
"2301307";"Araripe (CE)";"1139";"-";"28697";"-"
"2301406";"Aratuba (CE)";"845";"-";"17676";"-"
"2301505";"Arneiroz (CE)";"471";"-";"8051";"-"
"2301604";"Assaré (CE)";"1512";"X";"29018";"X"
"2301703";"Aurora (CE)";"1337";"X";"30484";"X"
"2301802";"Baixio (CE)";"691";"-";"12552";"-"
"2301851";"Banabuiú (CE)";"1535";"-";"33439";"-"
"2301901";"Barbalha (CE)";"9865";"X";"217199";"X"
"2301950";"Barreira (CE)";"1084";"X";"27931";"X"
"2302008";"Barro (CE)";"1443";"X";"25511";"X"
"2302057";"Barroquinha (CE)";"975";"-";"21336";"-"
"2302107";"Baturité (CE)";"3206";"X";"67428";"X"
"2302206";"Beberibe (CE)";"4103";"X";"92355";"X"
"2302305";"Bela Cruz (CE)";"1560";"-";"40358";"-"
"2302404";"Boa Viagem (CE)";"3583";"4";"68390";"54"
"2302503";"Brejo Santo (CE)";"6328";"X";"125101";"X"
"2302602";"Camocim (CE)";"5433";"106";"100851";"1434"
"2302701";"Campos Sales (CE)";"1899";"9";"33819";"144"
"2302800";"Canindé (CE)";"6800";"34";"159886";"434"
"2302909";"Capistrano (CE)";"1001";"-";"25398";"-"
"2303006";"Caridade (CE)";"944";"-";"22019";"-"
"2303105";"Cariré (CE)";"1430";"-";"24695";"-"
"2303204";"Caririaçu (CE)";"1761";"X";"34273";"X"
"2303303";"Cariús (CE)";"858";"-";"16777";"-"
"2303402";"Carnaubal (CE)";"1065";"X";"21744";"X"
"2303501";"Cascavel (CE)";"8993";"69";"173029";"1013"
"2303600";"Catarina (CE)";"834";"-";"20109";"-"
"2303659";"Catunda (CE)";"658";"-";"19377";"-"
"2303709";"Caucaia (CE)";"38933";"847";"992009";"17637"
"2303808";"Cedro (CE)";"1309";"X";"29362";"X"
"2303907";"Chaval (CE)";"1779";"-";"18186";"-"
"2303931";"Choró (CE)";"676";"-";"17615";"-"
"2303956";"Chorozinho (CE)";"1477";"-";"34098";"-"
"2304004";"Coreaú (CE)";"1314";"-";"25573";"-"
"2304103";"Crateús (CE)";"5740";"41";"141921";"551"
"2304202";"Crato (CE)";"17674";"85";"439545";"1245"
"2304236";"Croatá (CE)";"800";"-";"21852";"-"
"2304251";"Cruz (CE)";"1726";"201";"44904";"3319"
"2304269";"Deputado Irapuan Pinheiro (CE)";"586";"-";"13294";"-"
"2304277";"Ereré (CE)";"450";"-";"8680";"-"
"2304285";"Eusébio (CE)";"40968";"X";"1101523";"X"
"2304301";"Farias Brito (CE)";"1228";"-";"27057";"-"
"2304350";"Forquilha (CE)";"2193";"7";"41405";"76"
"2304400";"Fortaleza (CE)";"763558";"5150";"27494332";"103230"
"2304459";"Fortim (CE)";"1294";"152";"43458";"2795"
"2304509";"Frecheirinha (CE)";"2974";"-";"55869";"-"
"2304608";"General Sampaio (CE)";"567";"-";"13192";"-"
"2304657";"Graça (CE)";"768";"-";"16509";"-"
"2304707";"Granja (CE)";"2509";"X";"63440";"X"
"2304806";"Granjeiro (CE)";"578";"-";"13499";"-"
"2304905";"Groaíras (CE)";"720";"X";"16612";"X"
"2304954";"Guaiúba (CE)";"1701";"-";"37444";"-"
"2305001";"Guaraciaba do Norte (CE)";"2553";"43";"54845";"485"
"2305100";"Guaramiranga (CE)";"812";"X";"15424";"X"
"2305209";"Hidrolândia (CE)";"1101";"X";"22392";"X"
"2305233";"Horizonte (CE)";"17547";"X";"379460";"X"
"2305266";"Ibaretama (CE)";"812";"-";"16721";"-"
"2305308";"Ibiapina (CE)";"1551";"X";"35410";"X"
"2305332";"Ibicuitinga (CE)";"944";"-";"18266";"-"
"2305357";"Icapuí (CE)";"3205";"X";"69986";"X"
"2305407";"Icó (CE)";"4212";"5";"84709";"47"
"2305506";"Iguatu (CE)";"13027";"61";"278361";"933"
"2305605";"Independência (CE)";"1511";"X";"31821";"X"
"2305654";"Ipaporanga (CE)";"773";"X";"13443";"X"
"2305704";"Ipaumirim (CE)";"920";"X";"16944";"X"
"2305803";"Ipu (CE)";"3059";"2";"64417";"40"
"2305902";"Ipueiras (CE)";"2048";"2";"47211";"114"
"2306009";"Iracema (CE)";"817";"X";"20264";"X"
"2306108";"Irauçuba (CE)";"1678";"-";"37322";"-"
"2306207";"Itaiçaba (CE)";"596";"-";"11627";"-"
"2306256";"Itaitinga (CE)";"5658";"-";"137336";"-"
"2306306";"Itapajé (CE)";"5085";"X";"99215";"X"
"2306405";"Itapipoca (CE)";"11908";"X";"264387";"X"
"2306504";"Itapiúna (CE)";"949";"-";"24524";"-"
"2306553";"Itarema (CE)";"2866";"27";"73157";"212"
"2306603";"Itatira (CE)";"1226";"-";"24548";"-"
"2306702";"Jaguaretama (CE)";"1055";"-";"22680";"-"
"2306801";"Jaguaribara (CE)";"988";"X";"20693";"X"
"2306900";"Jaguaribe (CE)";"2644";"X";"75449";"X"
"2307007";"Jaguaruana (CE)";"3336";"1";"70519";"16"
"2307106";"Jardim (CE)";"1570";"X";"37111";"X"
"2307205";"Jati (CE)";"724";"-";"14819";"-"
"2307254";"Jijoca de Jericoacoara (CE)";"4666";"1261";"92525";"20581"
"2307304";"Juazeiro do Norte (CE)";"49104";"431";"1175176";"6877"
"2307403";"Jucás (CE)";"1511";"X";"40493";"X"
"2307502";"Lavras da Mangabeira (CE)";"1587";"X";"37823";"X"
"2307601";"Limoeiro do Norte (CE)";"6989";"X";"153561";"X"
"2307635";"Madalena (CE)";"1185";"X";"26157";"X"
"2307650";"Maracanaú (CE)";"60691";"100";"1653398";"1153"
"2307700";"Maranguape (CE)";"15347";"X";"300462";"X"
"2307809";"Marco (CE)";"3155";"X";"59959";"X"
"2307908";"Martinópole (CE)";"803";"-";"15443";"-"
"2308005";"Massapê (CE)";"2262";"X";"46356";"X"
"2308104";"Mauriti (CE)";"2563";"X";"54350";"X"
"2308203";"Meruoca (CE)";"1080";"X";"21107";"X"
"2308302";"Milagres (CE)";"1762";"X";"43521";"X"
"2308351";"Milhã (CE)";"672";"X";"18864";"X"
"2308377";"Miraíma (CE)";"954";"-";"17669";"-"
"2308401";"Missão Velha (CE)";"2693";"X";"62779";"X"
"2308500";"Mombaça (CE)";"2565";"17";"49834";"224"
"2308609";"Monsenhor Tabosa (CE)";"1304";"-";"24425";"-"
"2308708";"Morada Nova (CE)";"7467";"14";"159778";"56"
"2308807";"Moraújo (CE)";"548";"-";"10223";"-"
"2308906";"Morrinhos (CE)";"977";"-";"22580";"-"
"2309003";"Mucambo (CE)";"943";"-";"17551";"-"
"2309102";"Mulungu (CE)";"834";"10";"16825";"126"
"2309201";"Nova Olinda (CE)";"1420";"-";"25652";"-"
"2309300";"Nova Russas (CE)";"2226";"X";"47561";"X"
"2309409";"Novo Oriente (CE)";"1422";"X";"33316";"X"
"2309458";"Ocara (CE)";"1075";"-";"27825";"-"
"2309508";"Orós (CE)";"814";"X";"20715";"X"
"2309607";"Pacajus (CE)";"7409";"-";"174556";"-"
"2309706";"Pacatuba (CE)";"7565";"31";"164747";"273"
"2309805";"Pacoti (CE)";"976";"X";"18746";"X"
"2309904";"Pacujá (CE)";"400";"-";"9029";"-"
"2310001";"Palhano (CE)";"704";"-";"13766";"-"
"2310100";"Palmácia (CE)";"771";"-";"14013";"-"
"2310209";"Paracuru (CE)";"3124";"X";"96062";"X"
"2310258";"Paraipaba (CE)";"3760";"49";"78645";"633"
"2310308";"Parambu (CE)";"1849";"-";"23564";"-"
"2310407";"Paramoti (CE)";"647";"-";"14979";"-"
"2310506";"Pedra Branca (CE)";"2942";"5";"61262";"82"
"2310605";"Penaforte (CE)";"748";"-";"15202";"-"
"2310704";"Pentecoste (CE)";"4164";"X";"81596";"X"
"2310803";"Pereiro (CE)";"3684";"X";"64889";"X"
"2310852";"Pindoretama (CE)";"2085";"-";"39979";"-"
"2310902";"Piquet Carneiro (CE)";"1050";"X";"21799";"X"
"2310951";"Pires Ferreira (CE)";"511";"X";"7795";"X"
"2311009";"Poranga (CE)";"647";"X";"14418";"X"
"2311108";"Porteiras (CE)";"1072";"-";"19505";"-"
"2311207";"Potengi (CE)";"626";"X";"14952";"X"
"2311231";"Potiretama (CE)";"614";"-";"10263";"-"
"2311264";"Quiterianópolis (CE)";"1289";"-";"22049";"-"
"2311306";"Quixadá (CE)";"7498";"X";"186395";"X"
"2311355";"Quixelô (CE)";"942";"-";"20559";"-"
"2311405";"Quixeramobim (CE)";"11496";"16";"230920";"301"
"2311504";"Quixeré (CE)";"2773";"-";"68871";"-"
"2311603";"Redenção (CE)";"2907";"X";"128891";"X"
"2311702";"Reriutaba (CE)";"1362";"X";"28624";"X"
"2311801";"Russas (CE)";"10332";"39";"205234";"582"
"2311900";"Saboeiro (CE)";"797";"-";"21241";"-"
"2311959";"Salitre (CE)";"1550";"-";"22216";"-"
"2312007";"Santana do Acaraú (CE)";"1550";"-";"37314";"-"
"2312106";"Santana do Cariri (CE)";"1185";"-";"26300";"-"
"2312205";"Santa Quitéria (CE)";"4025";"14";"77263";"145"
"2312304";"São Benedito (CE)";"3997";"8";"73378";"70"
"2312403";"São Gonçalo do Amarante (CE)";"12355";"140";"573829";"923"
"2312502";"São João do Jaguaribe (CE)";"529";"X";"10913";"X"
"2312601";"São Luís do Curu (CE)";"716";"-";"12304";"-"
"2312700";"Senador Pompeu (CE)";"3016";"X";"55862";"X"
"2312809";"Senador Sá (CE)";"477";"X";"8780";"X"
"2312908";"Sobral (CE)";"44059";"X";"1207825";"X"
"2313005";"Solonópole (CE)";"1673";"-";"30985";"-"
"2313104";"Tabuleiro do Norte (CE)";"2284";"-";"48163";"-"
"2313203";"Tamboril (CE)";"1262";"X";"36128";"X"
"2313252";"Tarrafas (CE)";"798";"-";"11643";"-"
"2313302";"Tauá (CE)";"4850";"X";"107920";"X"
"2313351";"Tejuçuoca (CE)";"1201";"-";"22979";"-"
"2313401";"Tianguá (CE)";"8350";"79";"178505";"1042"
"2313500";"Trairi (CE)";"3353";"185";"78917";"2491"
"2313559";"Tururu (CE)";"875";"-";"21732";"-"
"2313609";"Ubajara (CE)";"2904";"X";"71218";"X"
"2313708";"Umari (CE)";"541";"-";"10954";"-"
"2313757";"Umirim (CE)";"1257";"-";"30978";"-"
"2313807";"Uruburetama (CE)";"2573";"X";"48055";"X"
"2313906";"Uruoca (CE)";"1124";"X";"27926";"X"
"2313955";"Varjota (CE)";"1500";"4";"29136";"39"
"2314003";"Várzea Alegre (CE)";"3111";"X";"56220";"X"
"2314102";"Viçosa do Ceará (CE)";"3098";"25";"61979";"411"
"2400109";"Acari (RN)";"1025";"3";"20963";"42"
"2400208";"Açu (RN)";"5839";"X";"126315";"X"
"2400307";"Afonso Bezerra (RN)";"905";"-";"19200";"-"
"2400406";"Água Nova (RN)";"249";"-";"5156";"-"
"2400505";"Alexandria (RN)";"938";"X";"18950";"X"
"2400604";"Almino Afonso (RN)";"174";"-";"5433";"-"
"2400703";"Alto do Rodrigues (RN)";"2539";"9";"114372";"135"
"2400802";"Angicos (RN)";"964";"X";"23506";"X"
"2400901";"Antônio Martins (RN)";"308";"-";"7386";"-"
"2401008";"Apodi (RN)";"3789";"X";"72283";"X"
"2401107";"Areia Branca (RN)";"4490";"X";"116639";"X"
"2401206";"Arês (RN)";"2556";"-";"55256";"-"
"2401305";"Campo Grande (RN)";"502";"-";"12132";"-"
"2401404";"Baía Formosa (RN)";"2954";"39";"51189";"571"
"2401453";"Baraúna (RN)";"4034";"X";"91338";"X"
"2401503";"Barcelona (RN)";"393";"-";"8067";"-"
"2401602";"Bento Fernandes (RN)";"359";"-";"10042";"-"
"2401651";"Bodó (RN)";"430";"-";"10766";"-"
"2401701";"Bom Jesus (RN)";"549";"-";"12591";"-"
"2401800";"Brejinho (RN)";"936";"-";"19866";"-"
"2401859";"Caiçara do Norte (RN)";"628";"-";"11511";"-"
"2401909";"Caiçara do Rio do Vento (RN)";"253";"-";"8305";"-"
"2402006";"Caicó (RN)";"9692";"81";"215287";"1118"
"2402105";"Campo Redondo (RN)";"641";"-";"15493";"-"
"2402204";"Canguaretama (RN)";"3791";"43";"81761";"686"
"2402303";"Caraúbas (RN)";"1898";"X";"38657";"X"
"2402402";"Carnaúba dos Dantas (RN)";"1177";"X";"21474";"X"
"2402501";"Carnaubais (RN)";"686";"-";"17884";"-"
"2402600";"Ceará-Mirim (RN)";"6219";"X";"141130";"X"
"2402709";"Cerro Corá (RN)";"841";"X";"20050";"X"
"2402808";"Coronel Ezequiel (RN)";"328";"-";"7791";"-"
"2402907";"Coronel João Pessoa (RN)";"353";"-";"8149";"-"
"2403004";"Cruzeta (RN)";"897";"X";"18948";"X"
"2403103";"Currais Novos (RN)";"5237";"55";"118430";"787"
"2403202";"Doutor Severiano (RN)";"395";"-";"10181";"-"
"2403251";"Parnamirim (RN)";"41387";"X";"913520";"X"
"2403301";"Encanto (RN)";"362";"-";"9384";"-"
"2403400";"Equador (RN)";"537";"X";"12279";"X"
"2403509";"Espírito Santo (RN)";"646";"-";"12008";"-"
"2403608";"Extremoz (RN)";"2664";"X";"70023";"X"
"2403707";"Felipe Guerra (RN)";"436";"X";"10122";"X"
"2403756";"Fernando Pedroza (RN)";"246";"-";"6876";"-"
"2403806";"Florânia (RN)";"604";"-";"12617";"-"
"2403905";"Francisco Dantas (RN)";"288";"-";"5622";"-"
"2404002";"Frutuoso Gomes (RN)";"201";"-";"2979";"-"
"2404101";"Galinhos (RN)";"740";"21";"17449";"325"
"2404200";"Goianinha (RN)";"3428";"25";"82162";"322"
"2404309";"Governador Dix-Sept Rosado (RN)";"1329";"-";"29900";"-"
"2404408";"Grossos (RN)";"1343";"-";"28637";"-"
"2404507";"Guamaré (RN)";"3118";"X";"206207";"X"
"2404606";"Ielmo Marinho (RN)";"580";"-";"18153";"-"
"2404705";"Ipanguaçu (RN)";"1487";"-";"31909";"-"
"2404804";"Ipueira (RN)";"256";"-";"6423";"-"
"2404853";"Itajá (RN)";"816";"X";"15350";"X"
"2404903";"Itaú (RN)";"347";"-";"8349";"-"
"2405009";"Jaçanã (RN)";"411";"X";"10179";"X"
"2405108";"Jandaíra (RN)";"992";"-";"19038";"-"
"2405207";"Janduís (RN)";"689";"-";"9717";"-"
"2405306";"Januário Cicco (RN)";"380";"-";"10589";"-"
"2405405";"Japi (RN)";"326";"-";"7867";"-"
"2405504";"Jardim de Angicos (RN)";"290";"-";"6130";"-"
"2405603";"Jardim de Piranhas (RN)";"1357";"-";"23224";"-"
"2405702";"Jardim do Seridó (RN)";"1529";"-";"29953";"-"
"2405801";"João Câmara (RN)";"2724";"X";"83331";"X"
"2405900";"João Dias (RN)";"188";"-";"4147";"-"
"2406007";"José da Penha (RN)";"368";"-";"7805";"-"
"2406106";"Jucurutu (RN)";"1836";"X";"36740";"X"
"2406155";"Jundiá (RN)";"305";"-";"6490";"-"
"2406205";"Lagoa d'Anta (RN)";"387";"-";"10387";"-"
"2406304";"Lagoa de Pedras (RN)";"519";"-";"10027";"-"
"2406403";"Lagoa de Velhos (RN)";"377";"-";"8647";"-"
"2406502";"Lagoa Nova (RN)";"1131";"1";"29446";"14"
"2406601";"Lagoa Salgada (RN)";"693";"-";"15941";"-"
"2406700";"Lajes (RN)";"1047";"X";"24165";"X"
"2406809";"Lajes Pintadas (RN)";"409";"-";"8667";"-"
"2406908";"Lucrécia (RN)";"379";"-";"8227";"-"
"2407005";"Luís Gomes (RN)";"477";"-";"11680";"-"
"2407104";"Macaíba (RN)";"10920";"X";"270103";"X"
"2407203";"Macau (RN)";"3208";"7";"77660";"154"
"2407252";"Major Sales (RN)";"248";"-";"7493";"-"
"2407302";"Marcelino Vieira (RN)";"345";"-";"8180";"-"
"2407401";"Martins (RN)";"742";"53";"14097";"843"
"2407500";"Maxaranguape (RN)";"1086";"45";"26243";"264"
"2407609";"Messias Targino (RN)";"357";"-";"6240";"-"
"2407708";"Montanhas (RN)";"657";"-";"15305";"-"
"2407807";"Monte Alegre (RN)";"1854";"X";"46285";"X"
"2407906";"Monte das Gameleiras (RN)";"292";"-";"6673";"-"
"2408003";"Mossoró (RN)";"58700";"X";"1788121";"X"
"2408102";"Natal (RN)";"289198";"4450";"11590404";"95892"
"2408201";"Nísia Floresta (RN)";"2480";"164";"55092";"1717"
"2408300";"Nova Cruz (RN)";"2754";"X";"63030";"X"
"2408409";"Olho d'Água do Borges (RN)";"347";"-";"7632";"-"
"2408508";"Ouro Branco (RN)";"467";"-";"9499";"-"
"2408607";"Paraná (RN)";"209";"-";"5876";"-"
"2408706";"Paraú (RN)";"309";"-";"7576";"-"
"2408805";"Parazinho (RN)";"281";"X";"10070";"X"
"2408904";"Parelhas (RN)";"3324";"1";"66969";"46"
"2408953";"Rio do Fogo (RN)";"747";"24";"20205";"361"
"2409100";"Passa e Fica (RN)";"992";"X";"17907";"X"
"2409209";"Passagem (RN)";"244";"-";"7623";"-"
"2409308";"Patu (RN)";"972";"-";"19269";"-"
"2409332";"Santa Maria (RN)";"405";"-";"11356";"-"
"2409407";"Pau dos Ferros (RN)";"3767";"19";"78891";"349"
"2409506";"Pedra Grande (RN)";"849";"-";"25954";"-"
"2409605";"Pedra Preta (RN)";"316";"-";"6673";"-"
"2409704";"Pedro Avelino (RN)";"589";"X";"12661";"X"
"2409803";"Pedro Velho (RN)";"1226";"-";"27289";"-"
"2409902";"Pendências (RN)";"1950";"X";"39100";"X"
"2410009";"Pilões (RN)";"232";"-";"5047";"-"
"2410108";"Poço Branco (RN)";"731";"-";"17548";"-"
"2410207";"Portalegre (RN)";"436";"X";"9276";"X"
"2410256";"Porto do Mangue (RN)";"744";"-";"15836";"-"
"2410306";"Serra Caiada (RN)";"633";"-";"14048";"-"
"2410405";"Pureza (RN)";"604";"X";"16571";"X"
"2410504";"Rafael Fernandes (RN)";"202";"X";"4009";"X"
"2410603";"Rafael Godeiro (RN)";"318";"-";"7158";"-"
"2410702";"Riacho da Cruz (RN)";"247";"-";"5912";"-"
"2410801";"Riacho de Santana (RN)";"271";"-";"6372";"-"
"2410900";"Riachuelo (RN)";"377";"X";"9186";"X"
"2411007";"Rodolfo Fernandes (RN)";"349";"-";"7992";"-"
"2411056";"Tibau (RN)";"766";"X";"14654";"X"
"2411106";"Ruy Barbosa (RN)";"294";"-";"8381";"-"
"2411205";"Santa Cruz (RN)";"3473";"23";"75837";"327"
"2411403";"Santana do Matos (RN)";"733";"-";"18013";"-"
"2411429";"Santana do Seridó (RN)";"382";"-";"8280";"-"
"2411502";"Santo Antônio (RN)";"1675";"X";"40103";"X"
"2411601";"São Bento do Norte (RN)";"708";"X";"15867";"X"
"2411700";"São Bento do Trairí (RN)";"334";"-";"7732";"-"
"2411809";"São Fernando (RN)";"416";"-";"9255";"-"
"2411908";"São Francisco do Oeste (RN)";"558";"-";"10452";"-"
"2412005";"São Gonçalo do Amarante (RN)";"15889";"47";"368743";"758"
"2412104";"São João do Sabugi (RN)";"345";"-";"8016";"-"
"2412203";"São José de Mipibu (RN)";"5503";"X";"121951";"X"
"2412302";"São José do Campestre (RN)";"697";"X";"16940";"X"
"2412401";"São José do Seridó (RN)";"951";"-";"17712";"-"
"2412500";"São Miguel (RN)";"1297";"6";"35220";"65"
"2412559";"São Miguel do Gostoso (RN)";"1017";"X";"24538";"X"
"2412609";"São Paulo do Potengi (RN)";"1321";"X";"32548";"X"
"2412708";"São Pedro (RN)";"368";"-";"8467";"-"
"2412807";"São Rafael (RN)";"447";"-";"9319";"-"
"2412906";"São Tomé (RN)";"728";"X";"18778";"X"
"2413003";"São Vicente (RN)";"643";"-";"12601";"-"
"2413102";"Senador Elói de Souza (RN)";"245";"-";"8107";"-"
"2413201";"Senador Georgino Avelino (RN)";"338";"X";"9206";"X"
"2413300";"Serra de São Bento (RN)";"404";"X";"8986";"X"
"2413359";"Serra do Mel (RN)";"934";"X";"31529";"X"
"2413409";"Serra Negra do Norte (RN)";"837";"-";"14139";"-"
"2413508";"Serrinha (RN)";"462";"-";"11199";"-"
"2413557";"Serrinha dos Pintos (RN)";"276";"-";"5764";"-"
"2413607";"Severiano Melo (RN)";"439";"-";"7721";"-"
"2413706";"Sítio Novo (RN)";"322";"-";"8328";"-"
"2413805";"Taboleiro Grande (RN)";"310";"-";"6013";"-"
"2413904";"Taipu (RN)";"682";"-";"19532";"-"
"2414001";"Tangará (RN)";"1020";"X";"25344";"X"
"2414100";"Tenente Ananias (RN)";"494";"-";"9736";"-"
"2414159";"Tenente Laurentino Cruz (RN)";"511";"-";"11491";"-"
"2414209";"Tibau do Sul (RN)";"3851";"1043";"75489";"19796"
"2414308";"Timbaúba dos Batistas (RN)";"302";"-";"6484";"-"
"2414407";"Touros (RN)";"2481";"30";"58941";"412"
"2414456";"Triunfo Potiguar (RN)";"255";"-";"6192";"-"
"2414506";"Umarizal (RN)";"803";"X";"17670";"X"
"2414605";"Upanema (RN)";"1226";"-";"28141";"-"
"2414704";"Várzea (RN)";"356";"-";"7860";"-"
"2414753";"Venha-Ver (RN)";"304";"-";"8399";"-"
"2414803";"Vera Cruz (RN)";"859";"-";"18384";"-"
"2414902";"Viçosa (RN)";"254";"-";"5009";"-"
"2415008";"Vila Flor (RN)";"393";"-";"6902";"-"
"2500106";"Água Branca (PB)";"712";"-";"13070";"-"
"2500205";"Aguiar (PB)";"377";"-";"10349";"-"
"2500304";"Alagoa Grande (PB)";"1913";"X";"40802";"X"
"2500403";"Alagoa Nova (PB)";"2168";"-";"40513";"-"
"2500502";"Alagoinha (PB)";"799";"-";"18982";"-"
"2500536";"Alcantil (PB)";"427";"-";"7829";"-"
"2500577";"Algodão de Jandaíra (PB)";"372";"-";"7449";"-"
"2500601";"Alhandra (PB)";"3832";"X";"118223";"X"
"2500700";"São João do Rio do Peixe (PB)";"1473";"X";"31816";"X"
"2500734";"Amparo (PB)";"331";"-";"6165";"-"
"2500775";"Aparecida (PB)";"501";"X";"10850";"X"
"2500809";"Araçagi (PB)";"961";"-";"20673";"-"
"2500908";"Arara (PB)";"699";"-";"15148";"-"
"2501005";"Araruna (PB)";"1280";"X";"27358";"X"
"2501104";"Areia (PB)";"1567";"45";"33547";"538"
"2501153";"Areia de Baraúnas (PB)";"252";"-";"5050";"-"
"2501203";"Areial (PB)";"476";"-";"9785";"-"
"2501302";"Aroeiras (PB)";"1126";"X";"24412";"X"
"2501351";"Assunção (PB)";"337";"X";"6811";"X"
"2501401";"Baía da Traição (PB)";"715";"10";"13724";"166"
"2501500";"Bananeiras (PB)";"1377";"X";"29648";"X"
"2501534";"Baraúna (PB)";"344";"-";"7671";"-"
"2501575";"Barra de Santana (PB)";"573";"-";"12885";"-"
"2501609";"Barra de Santa Rosa (PB)";"803";"X";"18489";"X"
"2501708";"Barra de São Miguel (PB)";"401";"-";"8109";"-"
"2501807";"Bayeux (PB)";"9675";"26";"240124";"531"
"2501906";"Belém (PB)";"1650";"X";"29165";"X"
"2502003";"Belém do Brejo do Cruz (PB)";"504";"-";"11282";"-"
"2502052";"Bernardino Batista (PB)";"342";"-";"8040";"-"
"2502102";"Boa Ventura (PB)";"346";"-";"6955";"-"
"2502151";"Boa Vista (PB)";"1026";"-";"22644";"-"
"2502201";"Bom Jesus (PB)";"272";"-";"5276";"-"
"2502300";"Bom Sucesso (PB)";"360";"-";"7125";"-"
"2502409";"Bonito de Santa Fé (PB)";"579";"-";"13485";"-"
"2502508";"Boqueirão (PB)";"1241";"X";"26244";"X"
"2502607";"Igaracy (PB)";"410";"-";"8963";"-"
"2502706";"Borborema (PB)";"322";"-";"8236";"-"
"2502805";"Brejo do Cruz (PB)";"789";"-";"18634";"-"
"2502904";"Brejo dos Santos (PB)";"369";"-";"7532";"-"
"2503001";"Caaporã (PB)";"3898";"X";"87198";"X"
"2503100";"Cabaceiras (PB)";"356";"X";"8244";"X"
"2503209";"Cabedelo (PB)";"19722";"144";"575062";"2282"
"2503308";"Cachoeira dos Índios (PB)";"507";"-";"12835";"-"
"2503407";"Cacimba de Areia (PB)";"339";"-";"6561";"-"
"2503506";"Cacimba de Dentro (PB)";"730";"-";"18668";"-"
"2503555";"Cacimbas (PB)";"452";"-";"10727";"-"
"2503605";"Caiçara (PB)";"418";"-";"9526";"-"
"2503704";"Cajazeiras (PB)";"7911";"46";"188213";"738"
"2503753";"Cajazeirinhas (PB)";"237";"-";"7904";"-"
"2503803";"Caldas Brandão (PB)";"569";"-";"10810";"-"
"2503902";"Camalaú (PB)";"419";"-";"8972";"-"
